item,itemLabel,insee,pop,area,popDate
http://www.wikidata.org/entity/Q1003510,Domjean,50164,822,16.57,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,519,11.16,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,538,11.16,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,537,11.16,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,546,11.16,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,376,4.1,2011-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,550,11.16,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003637,Entrammes,53094,2076,26.16,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,554,11.16,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,370,4.1,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,563,11.16,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003510,Domjean,50164,820,16.57,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1003518,Colomby,50138,566,11.16,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,393,4.1,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,415,4.1,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,408,4.1,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,414,4.1,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,426,4.1,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003637,Entrammes,53094,2231,26.16,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,430,4.1,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,434,4.1,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003637,Entrammes,53094,2242,26.16,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003581,Beauchamps,50038,438,4.1,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003637,Entrammes,53094,2292,26.16,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003750,Higuères-Souye,64262,285,7.35,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003750,Higuères-Souye,64262,274,7.35,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003750,Higuères-Souye,64262,275,7.35,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003750,Higuères-Souye,64262,275,7.35,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003750,Higuères-Souye,64262,276,7.35,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003750,Higuères-Souye,64262,275,7.35,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003750,Higuères-Souye,64262,276,7.35,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003661,Beaudricourt,62091,97,4.58,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003694,Riupeyrous,64465,168,4.81,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003661,Beaudricourt,62091,94,4.58,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003694,Riupeyrous,64465,192,4.81,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,997,21.66,1968-03-01T00:00:00Z
http://www.wikidata.org/entity/Q1003694,Riupeyrous,64465,207,4.81,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003694,Riupeyrous,64465,214,4.81,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003694,Riupeyrous,64465,219,4.81,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,861,21.66,1975-02-20T00:00:00Z
http://www.wikidata.org/entity/Q1003694,Riupeyrous,64465,224,4.81,2019-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003694,Riupeyrous,64465,228,4.81,2020-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003694,Riupeyrous,64465,233,4.81,2021-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003694,Riupeyrous,64465,238,4.81,2022-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,827,21.66,1982-03-04T00:00:00Z
http://www.wikidata.org/entity/Q1003632,Berles-Monchel,62113,494,8.33,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003632,Berles-Monchel,62113,492,8.33,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003632,Berles-Monchel,62113,504,8.33,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003632,Berles-Monchel,62113,488,8.33,2017-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003632,Berles-Monchel,62113,489,8.33,2018-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,863,21.66,1990-03-05T00:00:00Z
http://www.wikidata.org/entity/Q1003645,Cuillé,53088,849,21.66,1999-03-08T00:00:00Z
http://www.wikidata.org/entity/Q1003728,Saint-Abit,64469,352,4.22,2013-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003728,Saint-Abit,64469,326,4.22,2015-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003728,Saint-Abit,64469,333,4.22,2016-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1003728,Saint-Abit,64469,317,4.22,2017-01-01T00:00:00Z
